url,scheme_name,amc,doc_type,category,source_domain,notes
https://groww.in/mutual-funds/mirae-asset-large-cap-fund-direct-growth,Mirae Asset Large Cap Fund Direct Growth,Mirae Asset,scheme_page,scheme_specific,groww.in,Groww scheme page
https://www.miraeassetmf.co.in/mutual-fund-scheme/equity-fund/mirae-asset-large-cap-fund,Mirae Asset Large Cap Fund Direct Growth,Mirae Asset,scheme_page,scheme_specific,miraeassetmf.co.in,Official Mirae Asset scheme page
https://www.amfiindia.com/otherdata/scheme-details,Mirae Asset Large Cap Fund Direct Growth,Mirae Asset,scheme_lookup,scheme_specific,amfiindia.com,AMFI scheme-details lookup
https://groww.in/mutual-funds/mirae-asset-emerging-bluechip-fund-direct-growth,Mirae Asset Emerging Bluechip Fund Direct Growth,Mirae Asset,scheme_page,scheme_specific,groww.in,Groww scheme page
https://www.miraeassetmf.co.in/mutual-fund-scheme/equity-fund/mirae-asset-emerging-bluechip-fund,Mirae Asset Emerging Bluechip Fund Direct Growth,Mirae Asset,scheme_page,scheme_specific,miraeassetmf.co.in,Official Mirae Asset scheme page
https://www.amfiindia.com/otherdata/scheme-details,Mirae Asset Emerging Bluechip Fund Direct Growth,Mirae Asset,scheme_lookup,scheme_specific,amfiindia.com,AMFI scheme-details lookup
https://groww.in/mutual-funds/mirae-asset-tax-saver-fund-direct-growth,Mirae Asset Tax Saver Fund Direct Growth,Mirae Asset,scheme_page,scheme_specific,groww.in,Groww scheme page
https://www.miraeassetmf.co.in/mutual-fund-scheme/equity-fund/mirae-asset-tax-saver-fund,Mirae Asset Tax Saver Fund Direct Growth,Mirae Asset,scheme_page,scheme_specific,miraeassetmf.co.in,Official Mirae Asset scheme page
https://www.amfiindia.com/otherdata/scheme-details,Mirae Asset Tax Saver Fund Direct Growth,Mirae Asset,scheme_lookup,scheme_specific,amfiindia.com,AMFI scheme-details lookup
https://transact.miraeassetmf.co.in/investor/General/FAQ.aspx,,Mirae Asset,faq,scheme_specific,miraeassetmf.co.in,Official Mirae Asset general investor FAQ
https://groww.in/help/mutual-funds/mf-others/how-to-download-capital-gain-report--50,,,help_article,general,groww.in,Groww official help article
https://groww.in/p/sip-systematic-investment-plan,,,help_article,general,groww.in,Groww guide - SIP overview
https://groww.in/blog/3-steps-follow-elss-lock-period-ends,,,help_article,general,groww.in,Groww blog - ELSS lock-in period
https://www.amfiindia.com/investor/knowledge-center-info?zoneName=TypesOfMutualFundSchemes,,,investor_education,general,amfiindia.com,AMFI knowledge center - Types of Mutual Fund Schemes
https://www.amfiindia.com/investor/knowledge-center-info?zoneName=CategorizationOfMutualFundSchemes,,,investor_education,general,amfiindia.com,AMFI knowledge center - Categorization
https://investor.sebi.gov.in/riskometer.html,,,investor_education,general,sebi.gov.in,SEBI Investor education - Riskometer
https://investor.sebi.gov.in/elss.html,,,investor_education,general,sebi.gov.in,SEBI Investor education - ELSS
https://www.sebi.gov.in/legal/circulars/oct-2020/circular-on-product-labeling-in-mutual-fund-schemes-risk-o-meter_47796.html,,,sebi_circular,general,sebi.gov.in,SEBI Oct 2020 circular - Risk-o-meter
